start,,Expected Time (in minutes),Game Name,Youtube Link,Link,Favorite Condiment
628,0,0,Burning Horizon,https://youtu.be/91QOHqmE0Zo,,
629,1,3.1,Rainbow Repair 🌈,https://youtu.be/Anji33pmKKk,https://globalgamejam.org/2020/games/rainbow-repair-6,butter?
631,2,6.2,Unfactorio,https://youtu.be/1lxSlFzcmuY,https://globalgamejam.org/2020/games/unfactorio-9,
634,3,9.3,Hell in a handbasket ,https://youtu.be/VoZlNrPCv8g,https://globalgamejam.org/2020/games/hell-hand-basket-5,
,4,12.4,night manager,,,
641,5,15.5,Sa(n)d Castle 🏯,https://youtu.be/-kN8_JYCHxg,,
644,6,18.6,1Zen-Retro-Fixer,https://youtu.be/0cMqAThSTeg,,
647,7,21.7,Mayor Quandary,https://www.youtube.com/watch?v=DJutg4mrVmk&feature=youtu.be,https://globalgamejam.org/2020/games/mayor-quandary-cute-toys-ugly-problems-3,
651,8,,comrade cosmonaut,https://youtu.be/i8Mn5qLygdg,,
655,9,27.9,NEIGHBORHOOD KNOCKOUT!,https://youtu.be/khc2KyUypts,https://globalgamejam.org/2020/games/neighborhood-knockout-6,
,10,31,Getting a Head,https://youtu.be/8zgjA8sGFpw,https://globalgamejam.org/2020/games/getting-ahead-8,
701,11,34.1,Road Repair,https://www.youtube.com/watch?v=1S68JWF-yzo&feature=youtu.be,https://globalgamejam.org/2020/games/road-repair-4,
704,12,37.2,D.I.Y. or Die,https://youtu.be/1_Od8eUzCoU (https://vimeo.com/388896870),https://globalgamejam.org/2020/games/diy-or-die-5,
707,13,40.3,Aithin's Ascension ,https://youtu.be/RBlITk4YQ48,https://globalgamejam.org/2020/games/aithins-ascension-9,
710,14,43.4,Re-Pair Device,https://youtu.be/2WXa8NZzSwo,https://globalgamejam.org/2020/games/re-pair-device-5,
712,15,46.5,Power to Music to Save the World via the Repair of the Cycle of Soul Reincarnation,https://youtu.be/zufcOidT-YE,https://globalgamejam.org/2020/games/power-music-save-world-repair-cycle-soul-reincarnation-5,
715,16,49.6,Repair Gravity,https://www.youtube.com/watch?v=lzpzLFsOpc4,,
718,17,52.7,Nailgun,https://youtu.be/FHE7VLWpeaQ,https://globalgamejam.org/2020/games/nailgun-1,
721,18,55.8,Support System,https://www.youtube.com/watch?v=23_z-fiPpVg,https://globalgamejam.org/2020/games/support-system-2,
725,19,58.9,Super Repair Bros,https://youtu.be/5aYgRRLddtM,https://globalgamejam.org/2020/games/super-repair-bros-2,
728,20,62,Deep Diving Dilemma,https://www.youtube.com/watch?v=6w9Brm_hQPU&feature=youtu.be,,
732,21,65.1,Mech Medic,https://www.youtube.com/watch?v=PFwGQz_MGII&feature=youtu.be,https://globalgamejam.org/2020/games/mechmedic-7,
735,22,68.2,"__Kick_Assteroids
",https://youtu.be/RToTYb2YX7k,https://globalgamejam.org/2020/games/kick-assteroids-4,"TarTar Sauce
"
739,23,71.3,"Prithee, Patients",https://www.youtube.com/watch?v=lujcuqLNcXg&feature=youtu.be,https://globalgamejam.org/2020/games/prithe-patients-1,
742,24,74.4,DUCT,https://www.youtube.com/watch?v=25i26ENrBPQ&feature=youtu.be,https://globalgamejam.org/2020/games/duct-6,
749,25,77.5,Mauseturm,https://www.youtube.com/watch?v=J3BhHepMvWw&feature=youtu.be,https://globalgamejam.org/2020/games/mauseturm-1,
,28,86.8,Washed In Space,https://youtu.be/tNhjZzcyJd8,https://globalgamejam.org/2020/games/washed-space-2,
752,26,80.6,SCIENCE DRAGON RAMPAGE,https://www.youtube.com/watch?v=UZL4hf_xuq4,https://globalgamejam.org/2020/games/science-dragon-rampage-4,
755,29,89.9,Work-In-Progress,https://youtu.be/Q8OmN82FLhQ,https://globalgamejam.org/2020/games/work-progress-1,
758,30,93,Derelict,https://youtu.be/x1ury2PDddY,https://globalgamejam.org/2020/games/derelict-7,
801,31,96.1,Stalker,https://studio.youtube.com/video/TLat_knKQR4/edit,https://globalgamejam.org/2020/games/stalker-1,
805,32,99.2,A.R.K (Animal Repair Kit),https://www.youtube.com/watch?v=9FPvlKAeZqY,https://globalgamejam.org/node/73178/,Ranch?
809,33,102.3,UUD4T,https://www.youtube.com/watch?v=KbVUMMU9B84,,
812,34,,Riley,https://www.youtube.com/watch?v=p0tWD1VQivc&feature=youtu.be,https://globalgamejam.org/2020/games/mine-field-traversal-2,
815,35,,Shiprekt,https://www.youtube.com/watch?v=uYKkHbL6A8c,https://globalgamejam.org/2020/games/shiprekt-0,